Species
Anolis sagrei
Chamaeleo chamaeleon
Chelydra serpentina
Lycodon rufozonatus
Dipsosaurus dorsalis
Elaphe carinata
Emydura macquarii
Eremias argus
Lampropholis guichenoti
Mauremys mutica
Mauremys reevesii
Naja atra
Phrynocephalus versicolor
Phrynocephalus przewalskii
Plestiodon chinensis
Podarcis muralis
Psammodromus algirus
Sceloporus_undulatus
Takydromus septentrionalis
Tropidonophis mairii
