Species
Anolis sagrei
Chamaeleo chamaeleon
Chelonia mydas
Chelydra serpentina
Cyclura nubila
Elaphe carinata
Lacerta schreiberi
Lampropholis guichenoti
Lepidochelys olivacea
Mauremys mutica
Mauremys reevesii
Naja atra
Natator depressus
Oligosoma suteri
Phrynocephalus versicolor
Phrynocephalus przewalskii
Plestiodon chinensis
Podarcis muralis
Psammodromus algirus
Sceloporus undulatus
Takydromus septentrionalis
Tropidonophis mairii
