Species
Anolis sagrei
Chamaeleo chamaeleon
Chelonia mydas
Chelydra serpentina
Chrysemys picta
Lycodon rufozonatus
Dipsosaurus dorsalis
Elaphe carinata
Eremias argus
Gopherus agassizii
Lepidochelys olivacea
Mauremys mutica
Mauremys reevesii
Naja atra
Natator depressus
Oligosoma suteri
Phrynocephalus versicolor
Phrynocephalus przewalskii
Plestiodon chinensis
Podarcis muralis
Sceloporus undulatus
Takydromus septentrionalis
