Species
Chrysemys picta
Cyclura nubila
Lycodon rufozonatus
Elaphe carinata
Emydura macquarii
Gopherus agassizii
Naja atra
Phrynocephalus przewalskii
Phrynocephalus versicolor
Podarcis muralis
Takydromus septentrionalis
Tropidonophis mairii
