Species
Anolis sagrei
Chamaeleo chamaeleon
Chelonia mydas
Chelydra serpentina
Cyclura nubila
Elaphe carinata
Emydura macquarii
Lacerta schreiberi
Lampropholis guichenoti
Lepidochelys olivacea
Mauremys reevesii
Mauremys mutica
Naja atra
Natator depressus
Oligosoma suteri
Phrynocephalus versicolor
Phrynocephalus przewalskii
Plestiodon chinensis
Podarcis muralis
Psammodromus algirus
Sceloporus undulatus
Takydromus septentrionalis
Tropidonophis mairii
